"Alabama	13.2	236	58	21.2	a"
"Alaska	10	263	48	44.5	b"
"Arizona	8.1	294	80	31	c"
"Arkansas	8.8	190	50	19.5	d"
"California	9	276	91	40.6	a"
"Colorado	7.9	204	78	38.7	c"
"Connecticut	3.3	110	77	11.1	a"
"Delaware	5.9	238	72	15.8	d"
"Florida	15.4	335	80	31.9	a"
"Georgia	17.4	211	60	25.8	c"
"Hawaii	5.3	46	83	20.2	a"
"Idaho	2.6	120	54	14.2	b"
"Illinois	10.4	249	83	24	c"
"Indiana	7.2	113	65	21	d"
"Iowa	2.2	56	57	11.3	c"
"Kansas	6	115	66	18	b"
"Kentucky	9.7	109	52	16.3	d"
"Louisiana	15.4	249	66	22.2	a"
"Maine	2.1	83	51	7.8	d"
"Maryland	11.3	300	67	27.8	c"
"Massachusetts	4.4	149	85	16.3	b"
"Michigan	12.1	255	74	35.1	d"
"Minnesota	2.7	72	66	14.9	a"
"Mississippi	16.1	259	44	17.1	c"
"Missouri	9	178	70	28.2	b"
"Montana	6	109	53	16.4	a"
"Nebraska	4.3	102	62	16.5	d"
"Nevada	12.2	252	81	46	c"
"New Hampshire	2.1	57	56	9.5	d"
"New Jersey	7.4	159	89	18.8	c"
"New Mexico	11.4	285	70	32.1	a"
"New York	11.1	254	86	26.1	b"
"North Carolina	13	337	45	16.1	d"
"North Dakota	0.8	45	44	7.3	c"
"Ohio	7.3	120	75	21.4	d"
"Oklahoma	6.6	151	68	20	a"
"Oregon	4.9	159	67	29.3	a"
"Pennsylvania	6.3	106	72	14.9	a"
"Rhode Island	3.4	174	87	8.3	d"
"South Carolina	14.4	279	48	22.5	a"
"South Dakota	3.8	86	45	12.8	c"
"Tennessee	13.2	188	59	26.9	c"
"Texas	12.7	201	80	25.5	d"
"Utah	3.2	120	80	22.9	b"
"Vermont	2.2	48	32	11.2	b"
"Virginia	8.5	156	63	20.7	b"
"Washington	4	145	73	26.2	b"
"West Virginia	5.7	81	39	9.3	a"
"Wisconsin	2.6	53	66	10.8	"
"Wyoming	6.8	161	60	15.6	a"
